Number of Insects,New Captures (per Event),Evento,Label,Date,Time,Avg Temperature,Avg Humidity,Min Temperature,Max Temperature
0.0,0,0,cicalino2,2024-07-11,03:00:00,26.58318181818182,54.67363636363636,14.4,34.6
0.0,0,0,cicalino2,2024-07-12,03:03:00,26.557916666666667,57.27375,15.6,36.5
0.0,0,0,cicalino2,2024-07-13,03:03:00,25.907916666666665,67.64208333333333,17.5,35.6
0.0,0,0,cicalino2,2024-07-14,03:01:00,26.427083333333332,67.36749999999999,16.2,36.9
0.0,0,0,cicalino2,2024-07-15,03:05:00,27.31125,56.81166666666667,15.7,38.0
0.0,0,0,cicalino2,2024-07-16,03:04:00,26.4675,56.23916666666667,15.2,35.8
0.0,0,0,cicalino2,2024-07-17,03:03:00,27.429583333333337,55.755833333333335,16.2,37.3
0.0,0,1,cicalino2,2024-07-18,03:02:00,26.8575,53.35999999999999,14.5,37.0
1.0,1,0,cicalino2,2024-07-19,03:04:00,27.887083333333333,54.50333333333333,16.9,38.3
2.0,1,0,cicalino2,2024-07-20,03:03:00,26.8175,63.388749999999995,16.9,34.5
2.0,0,0,cicalino2,2024-07-21,03:02:00,27.058333333333334,65.7675,17.3,37.1
2.0,0,0,cicalino2,2024-07-22,03:00:00,25.66541666666667,69.78041666666667,19.9,35.0
2.0,0,1,cicalino2,2024-07-23,03:01:00,27.094166666666666,64.54458333333334,18.0,35.9
1.0,1,1,cicalino2,2024-07-24,03:02:00,28.080416666666665,61.77,18.6,36.2
1.0,1,0,cicalino2,2024-07-25,03:03:00,28.672916666666666,58.13458333333333,19.8,37.3
1.0,0,0,cicalino2,2024-07-26,03:02:00,27.898750000000003,65.34041666666667,18.1,37.8
1.0,0,0,cicalino2,2024-07-27,03:01:00,27.556250000000002,63.17291666666667,17.3,38.1
0.0,0,1,cicalino2,2024-07-28,03:00:00,27.363333333333333,57.79541666666666,16.2,38.0
0.0,0,0,cicalino2,2024-07-29,03:00:00,28.668333333333333,52.10166666666667,16.9,41.0
0.0,0,0,cicalino2,2024-07-30,03:04:00,30.486666666666668,45.98291666666666,20.0,40.0
0.0,0,0,cicalino2,2024-07-31,03:03:00,29.879583333333333,51.842083333333335,19.0,39.8
0.0,0,0,cicalino2,2024-08-01,03:01:00,28.26125,53.047083333333326,17.7,38.9
0.0,0,0,cicalino2,2024-08-02,03:00:00,28.03,67.69958333333334,19.1,37.8
0.0,0,1,cicalino2,2024-08-03,03:00:00,27.531666666666666,72.16208333333334,20.9,38.7
0.0,0,0,cicalino2,2024-08-04,03:01:00,27.524583333333336,63.774166666666666,18.4,37.4
0.0,0,0,cicalino2,2024-08-05,03:00:00,28.545,56.64958333333333,18.5,37.9
0.0,0,0,cicalino2,2024-08-06,03:04:00,27.488333333333333,63.9725,18.1,37.7
0.0,0,0,cicalino2,2024-08-07,03:02:00,27.0775,63.23,17.5,35.9
0.0,0,0,cicalino2,2024-08-08,03:01:00,26.996666666666666,62.45458333333334,16.4,36.0
0.0,0,1,cicalino2,2024-08-09,03:04:00,28.22083333333333,62.897083333333335,18.8,37.8
0.0,0,0,cicalino2,2024-08-10,03:00:00,30.0825,50.50375,19.4,40.2
0.0,0,0,cicalino2,2024-08-11,03:04:00,30.19333333333333,56.13791666666666,20.0,40.5
0.0,0,0,cicalino2,2024-08-12,03:03:00,30.22208333333333,52.59791666666666,20.9,40.4
0.0,0,0,cicalino2,2024-08-13,03:01:00,29.372083333333332,49.737500000000004,19.4,39.1
0.0,0,0,cicalino2,2024-08-14,03:00:00,28.302916666666665,62.72125,19.0,38.0
0.0,0,0,cicalino2,2024-08-15,03:04:00,26.493750000000002,63.1325,18.8,38.0
0.0,0,0,cicalino2,2024-08-16,03:03:00,27.765833333333333,60.786249999999995,19.6,38.7
0.0,0,0,cicalino2,2024-08-17,03:02:00,27.690833333333334,62.14791666666667,19.1,36.4
0.0,0,1,cicalino2,2024-08-18,03:01:00,23.772916666666664,80.09791666666666,19.6,33.6
0.0,0,0,cicalino2,2024-08-19,03:01:00,23.272499999999997,74.24708333333334,18.2,32.9
0.0,0,0,cicalino2,2024-08-20,03:00:00,24.450833333333335,71.57458333333334,16.8,33.2
0.0,0,0,cicalino2,2024-08-21,03:04:00,26.118333333333336,69.18458333333334,19.0,33.0
0.0,0,0,cicalino2,2024-08-22,03:03:00,27.017916666666668,63.955000000000005,18.7,36.5
1.0,1,0,cicalino2,2024-08-23,03:03:00,19.740000000000002,89.87,19.1,20.6
0.0,0,0,Imola1,2024-07-30,22:01:00,29.19727272727273,43.62090909090909,22.1,35.5
0.0,0,0,Imola1,2024-07-31,22:03:00,29.017083333333332,51.39208333333334,20.2,38.7
0.0,0,0,Imola1,2024-08-01,22:01:00,31.076666666666668,44.14833333333333,22.5,39.7
0.0,0,0,Imola1,2024-08-02,22:03:00,27.97375,65.75875,20.1,37.3
0.0,0,0,Imola1,2024-08-03,22:04:00,25.766666666666666,71.85208333333334,20.4,32.1
0.0,0,0,Imola1,2024-08-04,22:00:00,27.273478260869563,59.91782608695652,19.0,35.7
0.0,0,0,Imola1,2024-08-06,00:02:00,28.377916666666668,59.11625,21.0,37.2
0.0,0,1,Imola1,2024-08-07,00:03:00,27.293333333333333,64.45416666666667,19.1,38.1
0.0,0,0,Imola1,2024-08-08,00:03:00,26.318749999999998,65.97375,17.6,35.1
0.0,0,0,Imola1,2024-08-09,00:00:00,28.263333333333335,60.56791666666667,20.5,37.3
0.0,0,0,Imola1,2024-08-10,00:01:00,29.51,55.919999999999995,21.9,37.7
0.0,0,0,Imola1,2024-08-11,00:03:00,30.024583333333336,53.05458333333333,21.8,38.8
0.0,0,1,Imola1,2024-08-12,00:04:00,30.414166666666663,51.13333333333333,22.3,40.1
0.0,0,0,Imola1,2024-08-13,00:04:00,29.96666666666667,52.40375,22.7,39.7
0.0,0,0,Imola1,2024-08-14,00:00:00,29.14833333333333,54.00625,22.6,39.6
0.0,0,0,Imola1,2024-08-15,00:02:00,26.937916666666666,63.03541666666666,20.5,34.2
0.0,0,0,Imola1,2024-08-16,00:03:00,28.337500000000002,61.3375,21.9,37.0
1.0,1,0,Imola1,2024-08-17,00:00:00,26.82625,65.85708333333334,20.5,36.6
1.0,0,1,Imola1,2024-08-18,00:01:00,25.524583333333336,66.25750000000001,21.7,33.3
0.0,0,0,Imola1,2024-08-19,00:03:00,21.435833333333335,84.75541666666668,18.3,25.0
4.0,1,0,Imola1,2024-08-20,00:05:00,22.89125,89.00124999999998,20.4,28.4
2.0,0,0,Imola1,2024-08-21,00:01:00,26.659166666666668,68.14041666666667,20.9,33.7
4.0,1,0,Imola1,2024-08-22,00:03:00,25.987916666666667,71.87041666666667,19.6,33.6
5.0,1,0,Imola1,2024-08-23,00:04:00,23.26,88.6,23.1,23.4
0.0,0,0,Imola2,2024-07-31,00:00:00,28.83458333333333,52.446666666666665,19.7,38.8
0.0,0,0,Imola2,2024-08-01,00:01:00,31.059583333333332,43.4275,22.5,40.0
0.0,0,0,Imola2,2024-08-02,00:03:00,27.927916666666665,65.88083333333334,20.2,37.3
0.0,0,1,Imola2,2024-08-03,00:00:00,25.843333333333334,72.73541666666667,20.7,31.9
0.0,0,0,Imola2,2024-08-04,00:04:00,26.7625,63.102916666666665,18.5,35.8
0.0,0,0,Imola2,2024-08-05,00:00:00,27.45875,55.41,18.3,37.2
0.0,0,0,Imola2,2024-08-06,00:01:00,28.099999999999998,60.93958333333333,20.0,37.3
0.0,0,0,Imola2,2024-08-07,00:03:00,27.246666666666666,65.06583333333333,19.2,37.7
0.0,0,0,Imola2,2024-08-08,00:04:00,26.313333333333333,66.43875,17.7,35.0
0.0,0,0,Imola2,2024-08-09,00:04:00,28.14708333333333,62.01500000000001,19.9,37.6
0.0,0,0,Imola2,2024-08-10,00:01:00,29.410416666666666,56.90625,21.6,38.2
0.0,0,1,Imola2,2024-08-11,00:02:00,30.10375,53.17958333333333,22.7,38.9
0.0,0,0,Imola2,2024-08-12,00:00:00,30.597916666666666,50.34708333333333,22.6,40.2
0.0,0,0,Imola2,2024-08-13,00:01:00,30.082083333333333,52.11875,22.2,40.1
0.0,0,0,Imola2,2024-08-14,00:03:00,29.105,54.668749999999996,22.3,40.2
0.0,0,0,Imola2,2024-08-15,00:04:00,26.87291666666667,64.11458333333333,20.2,34.5
0.0,0,0,Imola2,2024-08-16,00:02:00,28.220416666666665,62.22666666666667,21.4,36.8
0.0,0,0,Imola2,2024-08-17,00:03:00,26.63291666666667,67.24166666666666,20.4,37.3
1.0,1,1,Imola2,2024-08-18,00:00:00,25.462083333333336,67.56166666666667,21.2,33.5
0.0,0,0,Imola2,2024-08-19,00:02:00,21.619583333333335,84.25791666666667,18.3,25.2
0.0,0,0,Imola2,2024-08-20,00:03:00,22.817916666666665,89.06791666666668,20.4,28.3
0.0,0,0,Imola2,2024-08-21,00:05:00,26.90041666666667,67.15625,21.2,34.4
0.0,0,0,Imola2,2024-08-22,00:01:00,25.714166666666667,73.51208333333334,18.9,33.9
0.0,0,0,Imola2,2024-08-23,00:03:00,22.59,92.1,22.5,22.7
0.0,0,0,Imola3,2024-08-17,00:02:00,26.89,64.88125000000001,20.5,36.4
0.0,0,0,Imola3,2024-08-18,00:04:00,25.890416666666667,64.84416666666667,21.6,33.7
0.0,0,0,Imola3,2024-08-19,00:00:00,21.65041666666667,83.20541666666666,18.3,25.7
1.0,1,0,Imola3,2024-08-20,00:02:00,23.00375,87.47208333333333,20.5,28.6
1.0,0,0,Imola3,2024-08-21,00:04:00,26.95375,66.22041666666667,21.1,34.0
2.0,1,0,Imola3,2024-08-22,00:00:00,25.773333333333337,72.58916666666667,19.1,33.5
3.0,1,0,Imola3,2024-08-23,00:02:00,22.74,90.89,22.7,22.8
